,0,1,2
N_CUSTOMERS,2219.0,4744.0,1987.0
BALANCE,2092.829,772.854,2864.439
BALANCE_FREQUENCY,0.885,0.837,0.964
PURCHASES,3.813,1343.319,1307.255
ONEOFF_PURCHASES,3.033,777.836,808.019
INSTALLMENTS_PURCHASES,0.82,565.957,499.415
CASH_ADVANCE,1929.296,4.563,2243.655
PURCHASES_FREQUENCY,0.009,0.664,0.613
ONEOFF_PURCHASES_FREQUENCY,0.006,0.259,0.287
PURCHASES_INSTALLMENTS_FREQUENCY,0.002,0.505,0.433
CASH_ADVANCE_FREQUENCY,0.269,0.002,0.302
CASH_ADVANCE_TRX,6.188,0.033,7.644
PURCHASES_TRX,0.107,19.431,19.744
CREDIT_LIMIT,3948.545,4399.375,5330.332
PAYMENTS,1613.18,1434.108,2581.068
MINIMUM_PAYMENTS,984.755,585.535,1307.985
PRC_FULL_PAYMENT,0.044,0.25,0.047
TENURE,11.33,11.628,11.462
MONTHLY_AVG_PURCHASE,0.342,114.763,113.775
MONTHLY_CASH_ADVANCE,177.128,0.413,201.985
LIMIT_USAGE,0.574,0.223,0.579
PAYMENT_MINPAY_RATIO,9.59,10.911,4.045
AVG_PURCHASE_PER_TRX,3.147,97.192,97.17
AVG_CASH_ADV_PER_TRX,466.639,3.797,410.777
