CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER,CLUSTER_KMEANS,CLUSTER_AGGLOMERATIVE,CLUSTER_DBSCAN,CLUSTER_GMM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,1,1,1,0,6,0.6034970102113786,-3.0592831635313837,-1.0156501761151036,-0.24960014445192547,0.043074098245361264,0.04961520570635516,-0.9108229901680265,-0.14409893632178264
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0,0,0,0,1,-4.662216230694093,0.43004356827861645,1.4137973480982595,0.4658134544374833,1.6368330587874071,0.25178000734663486,0.6933493057333515,-0.14492238439728103
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,1,1,1,0,5,1.9197606617221672,1.1635038866283953,-0.7890518529644663,-2.8612981931609394,0.2511869376115417,0.034843310959950156,1.2617019229232236,1.0581004236274372
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,,0.0,12,1,1,1,-1,4,-0.5738682828551127,-0.6482430958372707,-0.8355412264307287,-2.6161276036889203,-2.8720166336513206,2.7118073215432914,0.10470637671872236,0.5324741102827248
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,1,1,1,0,5,-0.7598443734038428,-1.82878467730524,-1.3351857464710637,-1.5700906772991645,1.293596240796474,-1.394146198213037,-0.505437727896437,-0.22441243864874794
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1,1,1,0,5,1.358754512257518,0.8793283801540017,-3.249795237175003,0.4042617994615807,0.7660944966047236,-0.16250546272584884,-0.7146701306750324,-1.6620253079836922
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,1,1,1,0,0,5.368140926651963,2.099677414303859,2.6227309896169135,-0.02334951465644329,1.2466312359043081,-0.6551378128892077,1.2621899242729506,0.6449202000800557
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,1,1,1,0,5,1.6460361778992174,0.2694177607808594,-2.698153298342476,1.304182397761868,0.7891646232014494,-0.1400144344463467,-0.2280800669428541,-0.5811764443695905
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,1,1,1,0,5,1.8485207069488723,-0.0069566999443533015,-0.5908258822954278,-1.3723443820679024,0.5006581409130524,0.7348142745102102,0.34113633931059323,-0.862798348460418
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,1,1,1,0,6,1.9899159126527302,-1.2522272017352123,1.7929876450387692,-2.7245677846878547,0.2030534257555172,1.138720339627739,-0.3087887683352303,-1.389315375015992
